_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7018
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"19/12/2013 09:29:00"
_proposicao_txtEmenta,"Dispõe sobre o armazenamento de imagens em dispositivos de monitoramento e gravação eletrônica de por meio de circuito fechado em estabelecimentos abertos ao público em geral."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Onofre Santo Agostini"
_proposicao_autor1_idecadastro,160563
_proposicao_autor1_codPartido,127
_proposicao_autor1_txtSiglaPartido,PSD
_proposicao_autor1_txtSiglaUF,SC
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"7/2/2014 11:02:00"
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Segurança Pública e Combate ao Crime Organizado e Constituição e Justiça e de Cidadania (Mérito e Art. 54. RICD) - Art. 24. IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária"
_proposicao_situacao_id,915
_proposicao_situacao_descricao,"Aguardando Parecer"
_proposicao_situacao_orgao_codOrgaoEstado,2003
_proposicao_situacao_orgao_siglaOrgaoEstado,CCJC
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604974
_proposicao_nome,"PL 7017/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7017
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"18/12/2013 18:09:53"
_proposicao_txtEmenta,"Altera a Lei nº 12.351. de 22 de dezembro de 2010. para estabelecer uma política pública para o percentual mínimo do excedente em óleo da União."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Andre Moura"
_proposicao_autor1_idecadastro,160543
_proposicao_autor1_codPartido,126
_proposicao_autor1_txtSiglaPartido,PSC
_proposicao_autor1_txtSiglaUF,SE
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"9/1/2014 16:48:00"
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Minas e Energia e Constituição e Justiça e de Cidadania (Art. 54 RICD) Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária"
_proposicao_situacao_id,923
_proposicao_situacao_descricao,Arquivada
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604968
_proposicao_nome,"PL 7016/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7016
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"18/12/2013 17:47:21"
_proposicao_txtEmenta,"Acrescenta parágrafo ao art. 5º da Lei nº 12.034. de 29 de setembro de 2009. para garantir o exercício do voto nos municípios cujos trabalhos de recadastramento biométrico não tiverem sido homologados pela Justiça Eleitoral."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Raul Henry"
_proposicao_autor1_idecadastro,141523
_proposicao_autor1_codPartido,111
_proposicao_autor1_txtSiglaPartido,PMDB
_proposicao_autor1_txtSiglaUF,PE
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"9/1/2014 16:48:00"
_proposicao_ultimoDespacho_txtDespacho,"À Comissão de Constituição e Justiça e de Cidadania (Mérito e Art. 54. RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade"
_proposicao_situacao_id,923
_proposicao_situacao_descricao,Arquivada
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604962
_proposicao_nome,"PL 7015/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7015
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"18/12/2013 17:37:13"
_proposicao_txtEmenta,"Altera o caput do art. 20 da Lei nº 8.742. de 7 de dezembro de 1993.  e o caput do art.  34 da Lei nº 10.741. de 1º de outubro de 2003. para assegurar ao idoso com sessenta anos ou mais o recebimento do benefício de prestação continuada."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Sueli Vidigal"
_proposicao_autor1_idecadastro,141548
_proposicao_autor1_codPartido,104
_proposicao_autor1_txtSiglaPartido,PDT
_proposicao_autor1_txtSiglaUF,ES
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"9/1/2014 16:48:00"
_proposicao_ultimoDespacho_txtDespacho,"Apense-se à(ao) PL-6892/2010.Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária"
_proposicao_situacao_id,925
_proposicao_situacao_descricao,"Tramitando em Conjunto"
_proposicao_situacao_orgao_codOrgaoEstado,2014
_proposicao_situacao_orgao_siglaOrgaoEstado,CSSF
_proposicao_situacao_principal_codProposicaoPrincipal,467868
_proposicao_situacao_principal_proposicaoPrincipal,"PL 6892/2010"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604961
_proposicao_nome,"PL 7014/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7014
_proposicao_ano,2013
